PptID,STEMColF,STEMColM,LAHColF,LAHColM,STEMFriF,STEMFriM,LAHFriF,LAHFriM,STEMFamF,STEMFamM,LAHFamF,LAHFamM,STEMMedF,STEMMedM,LAHMedF,LAHMedM,SciExpect
297,60,20,10,10,60,10,10,20,10,20,30,40,10,20,30,40,2.6
302,60,5,10,25,15,25,30,30,0,0,100,0,100,0,0,0,1
258,67,33,0,0,0,0,55,45,45,55,0,0,12,12,43,33,2.4
362,70,30,0,0,15,50,30,5,30,30,30,10,25,25,25,25,2.6
178,97,1,1,1,97,1,1,1,97,1,1,1,98,1,0,1,3
313,100,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,2.2
308,100,0,0,0,100,0,0,0,80,5,5,10,25,25,25,25,1
271,100,0,0,0,25,0,75,0,25,25,25,25,0,50,45,5,2.2
169,100,0,0,0,1,1,0,98,90,5,2,3,0,0,100,0,3
344,100,0,0,0,0,0,0,100,0,0,0,100,100,0,0,0,4.2
