Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
30173,2,2,0.36718,-0.03382,-1.22735,-2.14407,-0.07313,0.62144,0.86162,1.31593,-1.48312,-0.26328,1.58763,
30318,2,2,-0.65658,-0.52037,1.53818,-0.53269,-0.07313,0.09663,0.86162,-0.52059,-0.37356,1.90896,1.15111,
301766,2,2,0.43657,0.61263,-0.30551,-0.37156,-0.07313,-0.10522,-1.88184,-0.97973,,0.09876,,1.52926
101552,2,2,-0.4536,-0.41473,0.61634,0.11185,0.47347,0.137,-0.40665,0.39767,1.29079,1.00386,,-0.88593
30135,2,2,-0.28247,-0.24,1.53818,-0.69383,-0.07313,0.37922,0.86162,-0.06146,1.56818,0.70216,,0.11715
10666,2,2,,,-1.22735,1.72323,-1.71295,-0.46855,0.86162,-0.52059,-1.48312,-0.98736,0.92499,-0.40652
30158,2,2,,,0.61634,-0.69383,0.47347,0.45996,-0.06026,-0.97973,-1.48312,-1.10804,1.12805,-0.54789
30053,2,2,,,1.53818,-0.53269,-0.07313,0.137,0.67377,1.31593,-0.65095,0.09876,-0.33393,0.1397
302822,2,2,,,-0.30551,-0.21042,2.11329,0.17737,-1.91571,-0.97973,,1.00386,0.99707,1.3537
30050,2,2,,,0.61634,0.11185,-0.07313,-0.02448,0.76087,1.31593,0.45861,-0.50464,-1.42697,-0.54233
10206,2,2,,,0.61634,0.11185,-0.07313,-0.2667,0.61315,1.31593,,-1.71144,1.99229,-0.80985
278,2,2,,,-0.30551,0.11185,-0.07313,0.21774,0.86162,-0.97973,,0.55131,-0.69821,-0.01447
10205,2,2,,,-0.30551,-1.33838,1.02008,0.21774,-1.22266,-0.97973,0.18122,0.09876,0.58409,-1.14213
5197,2,2,,,0.61634,0.7564,-1.71295,-0.50892,-1.92767,-0.97973,0.45861,-0.746,-0.23204,0.5201
876,2,2,,,-1.22735,0.27299,-1.71295,-0.14559,,1.31593,,-0.98736,0.14821,0.13686
30087,2,2,,,-0.30551,-0.04928,-0.07313,-0.30707,,0.8568,0.73601,-1.71144,0.9282,-0.12194
746,2,2,,,0.61634,-0.37156,1.02008,0.09663,0.43754,0.8568,,0.55131,0.27767,-0.98802
30134,2,2,,,1.53818,0.7564,-0.07313,0.37922,-1.92767,-0.97973,1.0134,-0.67704,0.27767,-0.98802
438,2,2,,,-0.30551,0.59527,-0.61974,-0.46855,-0.53387,-0.06146,,0.09876,0.5026,0.06524
578,2,2,,,-0.30551,0.91754,-0.07313,-0.14559,-1.22266,0.39767,,1.90896,0.5026,0.06524
7045,2,2,,,1.53818,0.27299,-1.71295,-0.22633,0.86162,-0.97973,-2.59268,-1.22872,0.5026,0.06524
30294,2,2,,,-1.22735,2.20664,-0.07313,-0.87225,0.86162,-0.97973,-1.20573,-0.50464,0.5026,0.06524
389,2,2,,,-1.22735,0.27299,-0.07313,-0.2667,0.86162,-0.97973,,-0.26328,-1.5905,-1.5063
382,2,2,,,1.53818,-0.37156,-0.07313,0.137,-0.26007,1.31593,,1.90896,0.07789,-0.1983
30211,2,2,,,-1.22735,1.72323,-2.80616,-0.83188,,-0.97973,-1.48312,-0.67704,0.44463,1.09031
30114,2,2,,,-1.22735,-1.33838,1.02008,0.21774,0.86162,0.39767,,1.00386,-0.80711,-1.00218
383,2,2,,,-1.22735,0.91754,-0.07313,-0.42818,-0.55238,1.31593,,-0.26328,1.06617,0.52316
30070,2,2,-0.29584,,0.61634,-0.37156,1.02008,0.05626,0.86162,0.8568,-1.48312,1.90896,-1.86174,-0.90425
101682,2,2,,1.82612,0.61634,-0.69383,1.02008,0.21774,,1.31593,,1.30556,-0.27248,-0.59335
30252,2,2,,2.53281,-1.22735,0.27299,0.47347,-0.30707,0.58213,-0.97973,-0.65095,-0.35379,0.5026,0.06524
30065,2,2,-0.19964,-0.21739,-1.22735,-1.66066,-0.07313,0.37922,0.86162,0.39767,-0.37356,-0.26328,1.84741,1.42014
30321,2,2,-0.03269,-0.07691,-0.30551,-0.53269,-0.61974,-0.02448,-1.7919,-0.97973,0.45861,0.09876,0.21252,0.3067
