Subject,Condition,Gender,ZSTEM,ZNonSTEM,Zevap2,Zmathdevalue,ZSAQ1,ZMATHIDcomp,ZTone_pos,ZRAT_PercentCorrect,ZNback_Correct,Zcoratmpt,ZEngpercentDiff,ZCMpercentDiff
40159,1,2,-0.03581,-0.02596,0.61634,-2.14407,-2.25955,0.66181,-1.22266,-0.97973,-0.92834,-1.19424,0.90995,-0.47062
40118,1,2,-0.22201,-0.23191,0.61634,0.11185,-0.07313,-0.02448,0.86162,0.39767,0.45861,1.18488,1.87018,-0.41183
10366,1,2,0.02846,-0.03630,-0.30551,0.75640,0.47347,0.50033,-0.76243,-0.06146,-1.20573,-0.74600,-0.55967,0.79013
40154,1,2,0.59872,0.97114,0.61634,-0.21042,0.47347,-0.06485,-1.22266,-0.97973,0.73601,0.70216,-0.55967,0.79013
5302,1,2,-0.54920,-0.50345,-1.22735,1.23982,-0.07313,-0.58966,0.86162,-0.52059,-0.65095,-0.50464,0.35682,-0.76681
6835,1,2,-0.40700,-0.35277,0.61634,0.43413,-1.16634,0.01589,0.84085,-0.06146,-0.92834,-0.74600,0.12582,-0.30320
40161,1,2,-0.22065,-0.18662,0.61634,0.43413,-0.61974,0.01589,0.86162,0.85680,1.56818,-0.50464,-1.47419,-1.18113
40009,1,2,0.10986,0.08854,0.61634,-1.17724,-0.61974,0.58107,-1.72217,1.77506,0.45861,0.46080,0.59513,-0.07490
6724,1,2,-0.44816,-0.36682,-0.30551,0.11185,-0.61974,-0.18596,0.82576,-0.97973,-0.09617,-0.26328,0.10786,0.03727
40115,1,2,-0.28562,-0.27709,-0.30551,0.27299,1.02008,-0.14559,-1.80329,0.39767,0.18122,-0.80634,-0.33393,0.13970
10187,1,2,0.50228,0.24961,0.61634,0.11185,-0.07313,0.45996,0.86162,-0.97973,-1.76051,-1.10804,-0.52989,-0.18925
10420,1,2,0.88099,0.63399,-1.22735,-0.04928,-1.16634,0.01589,-1.22266,-0.06146,-0.09617,-1.47008,-0.52989,-0.18925
6676,1,2,-0.54888,-0.41462,0.61634,0.75640,-1.16634,-0.14559,0.86162,2.23419,0.73601,1.00386,-0.57570,-0.65397
5428,1,2,0.09197,0.03698,-0.30551,0.43413,-0.07313,-0.38781,0.86162,-0.97973,1.29079,0.09876,-0.50027,1.12327
5476,1,2,0.30709,0.01955,0.61634,0.27299,0.47347,-0.54929,-1.83858,-0.06146,1.29079,-0.50464,-0.38634,-0.83707
10037,1,2,0.44947,0.48644,0.61634,0.75640,-0.61974,-0.34744,0.86162,-0.52059,-0.09617,-0.50464,0.97936,0.44432
40039,1,2,0.54566,0.24256,0.61634,-1.01611,1.56668,0.29848,-1.59437,-0.06146,-0.37356,0.09876,0.97936,0.44432
10118,1,2,-0.49314,-0.45467,0.61634,-0.53269,1.56668,0.21774,0.86162,1.31593,,-0.26328,0.58175,0.59941
100912,1,2,-0.08363,-0.06043,-0.30551,-0.53269,1.02008,0.21774,0.71960,2.23419,-0.65095,0.46080,-0.07736,-1.10952
10004,1,2,-0.24345,-0.11939,0.61634,-0.85497,0.47347,0.37922,0.50670,-0.52059,1.29079,0.09876,0.69484,1.43279
11664,1,2,-0.27598,-0.27953,-0.30551,0.27299,-0.07313,-0.10522,0.86162,-0.06146,0.45861,0.46080,-0.85040,-0.37666
13606,1,2,-0.00591,-0.07251,-0.30551,-1.17724,-1.16634,0.05626,0.86162,0.39767,-1.76051,0.09876,-0.85040,-0.37666
4291,1,2,-0.31270,-0.29931,0.61634,-0.69383,-0.07313,0.29848,0.86162,-0.97973,-0.65095,0.09876,-0.09307,0.27437
13930,1,2,-0.34459,-0.33473,-1.22735,-0.85497,-0.07313,0.25811,0.86162,1.31593,0.45861,-0.10237,-0.09307,0.27437
4033,1,2,-0.55242,-0.40716,0.61634,0.27299,-1.16634,0.33885,-1.92767,-0.97973,1.01340,-1.10804,-0.21372,0.10073
40042,1,2,-0.04734,-0.09911,-0.30551,1.23982,1.02008,-0.54929,0.86162,1.31593,0.18122,0.09876,-0.88027,-1.51271
6814,1,2,-0.58312,-0.47874,-1.22735,0.75640,-0.07313,-0.10522,0.86162,-0.97973,0.18122,-1.71144,1.53494,0.09962
10108,1,2,-0.05526,-0.16569,0.61634,-0.85497,0.47347,0.13700,0.86162,0.39767,1.01340,0.09876,-0.63998,-0.16902
10109,1,2,-0.50259,-0.43516,-1.22735,-0.21042,-0.07313,0.50033,-1.22266,-0.97973,-1.48312,-0.50464,1.27409,-0.22855
5893,1,2,0.24851,0.13595,-1.22735,1.72323,0.47347,-0.87225,0.86162,1.31593,-1.48312,-0.15984,1.25357,-0.11543
10453,1,2,-0.49540,-0.41821,-1.22735,0.43413,0.47347,-0.06485,-1.92767,0.39767,0.73601,-0.98736,1.34095,1.55172
3613,1,2,-0.37123,-0.35577,-1.22735,0.27299,-0.07313,-0.26670,0.20273,1.31593,-1.48312,-0.35379,0.34181,-0.81202
100802,1,2,-0.49817,-0.40682,1.53818,-1.33838,1.02008,0.70218,0.78193,1.77506,0.45861,0.09876,0.17340,-0.05647
10143,1,2,-0.30613,-0.29190,1.53818,-0.69383,0.47347,0.66181,0.77083,-0.97973,0.45861,-0.74600,-0.95737,-0.21771
10390,1,2,0.47197,0.23692,-0.30551,0.59527,-0.07313,-0.18596,0.86162,-0.52059,-0.09617,-0.26328,-0.95737,-0.21771
13684,1,2,1.69774,0.66194,0.61634,0.27299,0.47347,0.05626,0.82121,-0.97973,0.18122,-1.45284,-1.34946,-1.63504
6832,1,2,-2.07474,-1.66662,0.61634,-1.98293,-0.07313,0.58107,0.86162,-0.97973,1.56818,-0.26328,-1.60819,0.68637
5164,1,2,-0.45210,-0.39817,0.61634,-0.37156,-0.07313,0.05626,0.86162,-0.97973,-0.92834,-0.67704,0.18477,-0.52455
11686,1,2,-0.08592,0.10326,-0.30551,-0.21042,-1.71295,-0.22633,0.84625,-0.06146,0.45861,-0.74600,-0.00352,0.62651
10117,1,2,-0.66809,-0.31417,0.61634,-1.17724,0.47347,0.45996,0.74066,-0.06146,1.84557,0.70216,0.26266,0.09705
10059,1,2,-0.42237,-0.39878,-1.22735,-1.66066,-0.07313,0.37922,-1.22266,1.31593,-0.92834,0.70216,0.04718,-0.71073
13714,1,2,0.62255,0.28637,-1.22735,-0.85497,0.47347,0.37922,0.50044,-0.97973,-1.20573,-0.80634,2.65721,2.91588
