ID	Group	gender	condition	ZENGDiff	ZSTEMMajorDiff	ZCMDiff	ZDV	Zmathid	ZSAQ1	Zevap2	ZDwrong	ZFDMNBG	ZSDMNBG	ZSFPNBG	ZFDPDBG	ZFDMNSMT	ZFDMNSMA	ZFDPDSMT	ZFDPDSMA	ZSDMNSMT	ZSFPNSMT	ZSFPNSMA	ZSDMNSMA	coratmpt
51363	3	1	0	 	 	 	-0.535111527	0.775928974	0.782540422	-1.080969059	1.007092168	-0.014859745	0.631892519	0.339875015	-0.783870924	-1.043028872	-0.106097026	1.21137179	0.534102775	0.591397059	1.158000962	0.674134386	-0.616197279	50
51880	1	0	0	0.860125425	1.082121119	1.481514187	0.717113335	-0.575473692	0.010136534	-0.105977359	1.67227916	0.635990741	0.616077845	0.764620293	-0.073351967	-1.49045361	-0.004355929	-0.38600612	0.465851054	0.499546903	-0.102071637	0.074606431	0.054237191	77.77777778
52031	1	0	0	1.293884626	0.427114215	0.833654564	2.148227462	-0.350239915	 	-0.593473209	2.154360022	-0.023058322	 	 	-1.355618864	0.696893915	0.253488372	-0.977054532	-0.689251973	 	 	 	 	0
52046	2	0	1	-1.462962448	-0.143366671	-1.346687362	-0.177332995	-1.251175025	-0.762267354	-1.080969059	-0.472066128	 	 	 	 	 	 	 	 	 	 	 	 	42.85714286
52086	2	0	1	-0.008525901	1.261766969	-0.335355316	0.001556271	1.451630307	0.782540422	0.869014341	1.099759899	-2.640803361	-0.423086743	-1.540439577	-0.526130097	-1.661630821	-0.821982101	-0.027040882	-0.155053142	-1.285865572	-1.267649536	-1.592671882	-1.753706419	66.66666667
52103	3	1	0	-0.188156531	-1.093615108	-0.492180537	0.359334803	-1.251175025	0.782540422	0.381518491	0.200740697	 	 	 	 	 	 	 	 	 	 	 	 	0
52216	3	1	0	-0.049387264	-0.585823575	1.451200821	-0.714000792	0.100227641	0.010136534	1.356510191	-0.995757658	 	 	 	 	 	 	 	 	 	 	 	 	33.33333333
52259	1	0	0	 	 	 	-1.25066859	0.775928974	-0.762267354	-1.080969059	-0.341623116	-0.490180235	 	 	0.878940189	-0.154398834	-0.56230595	0.289801353	0.618317412	 	 	 	 	33.33333333
52495	2	0	1	-0.288659221	-0.46176052	0.356117987	-0.177332995	-1.926876358	-0.762267354	0.381518491	-0.443323095	0.995853435	0.506795341	-0.433315398	0.7498363	-0.260509762	0.890025092	0.315561764	1.05496525	1.056172899	-0.264683715	0.986176308	1.089584495	42.85714286
52740	1	0	0	-0.682626892	0.752186547	-0.436700871	-0.356222261	0.550695196	-0.762267354	-1.568464909	-0.082438722	-0.85647599	0.672716145	0.307216797	0.20932481	-1.059603123	-0.69595719	-0.652534374	0.302137133	0.397873858	-0.18695738	-0.383391519	0.163725821	33.33333333
53054	3	1	0	-0.855203981	0.013148451	0.250770133	0.359334803	0.100227641	0.010136534	-0.593473209	-2.290493432	1.988587227	0.599110376	-0.82474956	-1.983668264	0.756107694	0.86419749	-0.597521055	-0.942645688	0.346758531	0.171626915	0.683809643	0.490365119	58.33333333
53105	3	1	0	-0.862933789	0.435894913	-0.335605475	0.538224069	0.100227641	0.010136534	-0.593473209	-0.071186815	0.407579322	0.75480449	-1.185219587	-0.432334143	0.261489425	0.430522649	-2.040244159	-0.276426325	0.835092536	-0.723568573	-2.012136454	0.48497565	33.33333333
54041	1	0	0	-1.318812623	-1.148419416	-1.104013209	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	-99
54405	4	1	1	-1.070361362	-0.66889701	-1.281470335	-1.25066859	0.250383492	-0.762267354	1.844006041	0.321359321	0.318281765	 	 	0.142948677	0.510919393	0.121855769	-1.301708449	-0.496751289	 	 	 	 	60
54792	3	1	0	1.460169319	1.455829805	2.383446697	 	0.775928974	0.782540422	-0.593473209	-0.995257199	 	 	 	 	 	 	 	 	 	 	 	 	75
54982	3	1	0	 	 	 	-1.071779324	1.451630307	1.554944311	0.381518491	0.661492379	0.350688514	-0.102775544	0.218493116	1.980887558	0.713556572	0.449935534	1.577681509	1.803199118	-0.499235548	-0.328864331	0.368335707	-0.189313536	75
55082	4	1	1	-0.254946224	-0.730851103	-0.82893503	-1.429557856	0.625773122	0.010136534	1.356510191	0.352136768	0.418476957	-1.79793487	0.006885896	1.57672771	0.466138005	0.259021584	0.759080001	1.675279133	-1.871695043	-0.748396798	-0.197986372	-1.924041292	50
55414	3	1	0	-0.209292145	0.700998351	1.265693685	-0.714000792	 	0.782540422	-0.105977359	-0.163805646	1.338370994	0.06097063	-1.532922356	-1.477486132	1.112827	0.820597591	0.523746084	0.087973021	0.259422782	-1.125610702	-1.197563219	0.181039275	75
55501	3	1	0	0.686221985	0.68112133	1.06137779	-0.714000792	0.400539344	-0.762267354	0.381518491	-0.755232548	0.354124036	0.187174927	0.403230983	-0.949667061	1.150609899	0.39802088	1.283749348	-0.553129027	-0.510385134	-0.361109726	0.252151131	0.297279466	25
56186	3	1	0	-1.692770961	-0.778709753	-1.43886957	-0.535111527	0.775928974	0.782540422	-0.105977359	0.230180072	-0.216899389	0.618255792	1.562679641	1.079015831	-1.333393396	-0.083884472	1.66672797	1.505073385	0.196277467	0.739317615	1.059391164	-0.944938341	100
56290	1	0	0	0.903500722	0.301962441	-0.380084248	-0.714000792	0.100227641	-4.624286797	-0.105977359	0.531279723	0.380482025	0.739588495	0.414269402	-0.049037806	-0.503278946	0.502653877	-1.533630857	-0.163647858	0.352261888	-0.502143691	0.286017988	0.535423812	37.5
56690	3	1	0	-0.157855886	-0.608118767	0.513431149	-0.177332995	 	-0.762267354	-0.593473209	0.68039001	1.059654371	0.169631804	-1.077668445	-0.010425658	0.54445364	0.609925869	0.753786167	0.202871576	-0.21112522	-0.270089611	-0.076111666	-0.038978358	33.33333333
56727	1	0	0	 	 	 	0.001556271	0.100227641	-2.307075131	-0.593473209	-0.809144757	-0.8063462	 	 	-1.009715186	-0.58684557	-1.091933013	-1.895565118	-1.539846354	 	 	 	 	7.142857143
56817	1	0	0	1.965580655	1.587154845	-0.427646873	-0.177332995	0.100227641	0.010136534	0.869014341	-0.2574754	0.083787122	0.503269	1.268074413	0.109649512	-0.050913699	-0.152315876	0.737700313	0.732665274	-0.105599821	0.850638739	1.090006642	0.47194663	80
56919	1	0	0	 	 	 	0.001556271	-1.251175025	0.782540422	0.381518491	-0.363915148	-0.55136746	 	 	0.557646865	-0.298127766	0.021450231	-0.74578054	0.4003771	 	 	 	 	22.22222222
56942	1	0	0	0.209000517	0.324813371	-0.102069376	-0.714000792	0.325461418	-3.07947902	1.356510191	-0.009251926	-0.96320084	0.308534184	0.123447705	0.827260806	-0.825168139	-2.139981225	0.552530454	0.754774432	0.817211041	-0.007727072	0.295519076	1.010399243	0
57324	3	1	0	-0.859631638	-1.319700154	-0.895231055	1.253781132	-1.251175025	-1.534671243	0.869014341	0.725915258	-0.725513349	0.075143595	-0.169525641	0.463312005	-0.734594019	-0.691264151	0.105680047	0.030233929	0.950106994	0.710713046	0.151503145	0.151253765	50
57635	4	1	1	0.873241487	0.323908688	-1.519393914	1.253781132	-1.926876358	1.554944311	-0.593473209	-0.519376166	-0.740257578	-0.562219434	-0.051493621	-0.484272145	-1.269210778	-0.752216993	-1.706687114	0.719689596	-0.152413758	0.150018418	0.320665255	-0.777532168	62.5
57811	4	1	1	0.798053152	 	-1.860184603	-0.714000792	1.226396529	0.782540422	-0.593473209	-0.317856895	0.479581175	 	 	0.777849841	1.024718725	0.643400744	0.514100963	0.921972174	 	 	 	 	20
58041	1	0	0	0.361004447	1.159743194	1.075587504	1.253781132	-0.575473692	0.010136534	-0.105977359	0.581242898	-0.968183199	-0.506538694	-1.590031747	-0.397729832	-0.631184636	-0.876634286	-0.021965951	0.159654922	-0.197691415	-1.431808663	-2.095602874	-0.357017764	57.14285714
58160	1	0	0	 	 	 	-0.535111527	-0.575473692	-0.762267354	-1.080969059	-0.159844345	1.236459531	 	 	-0.300546002	1.138286264	2.054480842	-1.461106789	-0.510208863	 	 	 	 	0
58647	1	0	0	-0.1869022	0.086375321	0.309925161	-0.892890058	1.451630307	-0.762267354	-0.105977359	-0.326624265	0.617851248	-0.369332908	-0.500543296	0.252526798	1.458013473	0.918151615	-0.584059853	0.938205851	-0.672987549	-2.007031631	-0.157561742	-0.692180724	33.33333333
58682	3	1	0	-0.20298009	0.206494265	0.241341236	-0.535111527	0.775928974	1.554944311	0.869014341	0.118308268	0.339748746	0.320060078	0.938265158	0.593460804	0.230416027	0.122185835	-0.066170629	0.352075407	0.533083451	1.027478577	1.444528739	0.539263598	71.42857143
58925	3	1	0	 	 	 	-0.356222261	0.775928974	-0.762267354	0.869014341	-0.065903564	0.298896163	0.248788532	-1.496419877	-0.903529883	0.254851151	0.284780108	-0.978207034	0.244921493	-0.374506856	-0.877204668	-0.625623309	0.749821866	16.66666667
58927	1	0	0	 	 	 	0.717113335	-1.251175025	0.782540422	0.869014341	0.109924983	-0.784947372	-0.265248776	1.090475316	-2.32881257	-0.565324663	0.247783848	-0.353643555	-1.731811556	0.505065875	0.631612076	1.420805335	0.566378066	83.33333333
59401	2	0	1	-0.697744277	0.101750838	-0.917253311	0.001556271	-0.275161989	0.010136534	-1.568464909	0.351311388	-1.407449031	-0.644648739	0.371488237	-1.275392315	-0.222839339	-0.23046081	1.080145581	-0.267945703	0.476741006	0.666145436	0.621144237	0.612799101	66.66666667
59423	1	0	0	 	 	 	-1.429557856	1.451630307	1.554944311	-0.105977359	-0.741064545	-2.36533899	0.422111993	-0.215945273	0.20699538	 	-3.239023103	0.394441825	0.242534328	0.372503598	0.672836541	-0.36185147	0.458622615	80
59565	1	0	0	-0.855203981	0.013148451	0.250770133	1.074891866	-1.926876358	-0.762267354	-1.080969059	-2.095295963	-1.426030627	0.481918999	-0.003970905	1.717681892	0.082908839	-0.98262141	1.130615248	1.318950764	0.686377586	0.759376127	0.482502786	1.323253568	40
59937	2	0	1	-0.229738726	0.216026684	-0.097848348	0.359334803	-0.575473692	0.010136534	1.356510191	1.204085793	 	 	 	 	 	 	 	 	 	 	 	 	50
60269	2	0	1	3.393206632	1.007946733	1.410588363	1.79044893	-0.950863322	-0.762267354	-0.593473209	0.809785998	1.066590158	 	 	-0.227828821	1.551127486	1.566112329	0.523130927	0.62377939	 	 	 	 	20
